,hotelname,score,title,review
77,Mercure Singapore On Stevens,8.0,“ Mercure on Stevens - peaceful yet centrally located. ”,"Replenishing of toiletries & stationery,  and cleaning can be improved. Abit more variety for the daily breakfast options would be appreciated, especially for guests who stay abit longer. Fairly wide choice of western and asian options at daily buffet breakfast. Restaurant staff were very friendly and helpful.Bed quality was fantastic. Extremely comfortable.Pool was nice. Good location and convenient bus shuttle to nearby Orchard Rd precinct.Excellent reception staff - especially Sandeep who was most helpful. Stayed in October 2022"
78,Mercure Singapore On Stevens,7.0,“ Good hotel for a short stay. ”,"Breakfast was ordinary, rooms were small. We arrived at the hotel early in the morning, they were able to find us 2 rooms next to each other and allowed us to check in at 8am, we were very appreciative of this. 2x good sized pools. Stayed in September 2022"
79,Mercure Singapore On Stevens,8.0,“ it was ok. ”,"longer checkin time, room is not ready when i arrived ( almost 3pm) when the checkin time is at 2pm. longer checkout time, staff is very slow. taking their sweet time. Stayed in October 2022"
80,Mercure Singapore On Stevens,7.0,"“ Good for a stop over, nothing flash, clean and tidy, good location ”","Coffee tea etc in rooms didn't refill and not enough thereof at any point. This was despite being requested twice, not a big issue but annoying.
Couldn't buy a coffee anywhere there, no team on.
Rooms are probably more ibis size than mercure so small in other words. 
Not all the facilities are back up to pre covid action so some of the attached restaurants etc not always open.
There is a 7-11 there that is constantly got a ""back in 30 minutes"" sign up which is bloody annoying but not the fault of mercure obviously.
Had to specifically request housekeeping towels etc to be changed for immuno comprised, and had to remind which is not good.
House keeping repeatedly turned off air con when we left it on purpose. (Also part of the immuno comprised thing) Then on last day removed the card altogether so couldn't turn it on and leave it on, this is very annoying.
The fridge in the room did not cool anything down at all and requests to have it fixed were ignored. Good location, friendly team, secure, easy to get to and from around the city. (use Grab app is my advice)
Pool and everything is as shown in photos etc.
Very good.
Breakfast was good, plentiful but very expensive.
Obliging staff in terms of leaving baggage after checkout etc to come.bavk and collect.
Bed comfortable and bathroom clean and sufficient.
Wine bar is great when open, really good service. Stayed in September 2022"
81,Mercure Singapore On Stevens,6.0,“ n/a ”,"1. check in and check out is a hassle, very slow compare to other hotels 
2. house cleaning have to improve ie: easily spot dusty items, debris in drawer & floor is not clean enough decent reasonable close to orchard Stayed in October 2022"
82,Mercure Singapore On Stevens,8.0,“ very comfortable and sleep friendly ”,some rooms seem smaller than others. honestly I had the best sleep. the beds are super comfortable for a solo person and the rooms are cozy and clean. Stayed in September 2022
83,Mercure Singapore On Stevens,7.0,“ Overall a very comfortable stay. Helpful staff and executives. Hotel is very well maintained. ”,"Supply of Tea / Coffee sachets in the rooms is inadequate. We are used to having at least 3-4 cups of tea daily and this quota system of giving only TWO sachets of Tea/ Coffee, 2 Sachets of sugar and 2 sachets of coffee mate creamer is not expected in a hotel of your standing. Looked forward to our Breakfast each day . Wonderful variety on offer. Stayed in September 2022"
84,Mercure Singapore On Stevens,7.0,“ not very good value for money ”,"no towels or drink service by pool, no room service, confusing layout of hotel, our room wasnt ready when we arrived 4 hours after check in time, stain on bed sheets, live cricket in coffee bean holder at breakfast, only 1 power point in the whole room, comfortable double bed, infinity pool was lovely, pretty good variety buffet breakfast, late check out at 12pm, some friendly nice staff,free wifi and close to the train station to get around which is great, Stayed in September 2022"
85,Mercure Singapore On Stevens,8.0,“ Great ”,No pipe hose for in the toilet Overall great Stayed in September 2022
86,Mercure Singapore On Stevens,8.0,"“ comfortable, included good selection of breakfast ”","complete supplies are not replaced everyday. e.g soap, toothpaste, body wash, shampoo… no pen or pads provided with the room accomodated request for 2 beds by moving us to Novotel. good size rooms, good selection of breakfast, friendly staff. good location. value for money Stayed in September 2022"
87,Mercure Singapore On Stevens,7.0,Good,"It would have been good, if I had help with the luggage from the room to the lobby when checking out. Very helpful and friendly staff at the reception. Stayed in September 2022"
88,Mercure Singapore On Stevens,8.0,“ Convenient and adequate. ”,"Substantial breakfast but lacking essential Bananas which are cheap and plentiful in SingaporeCoffee or tea machines luke warm .Size of room is like every real estate in Singapore , Tiny. Stayed in September 2022"
89,Mercure Singapore On Stevens,6.0,“ It was ok ”,"Reception seemed to be very disorganised, took a long time to check out. Lot of people during breakfast, smelly in the breakfast area and almost nowhere to be seated, very rude customers good location Stayed in September 2022"
90,Mercure Singapore On Stevens,7.0,“ Pleasant and comfortable ”,"Rooms rather small, wall sound proofing/noise insulation can be improved- can hear neighbors talking/walking in corridor etc Attentive and helpful front desk staff- they managed the large check-in crowd professionally, attended my requests/needs and went above and beyond to make my stay really comfortable.Comfortable bed and clean rooms, good variety of TV programs, grateful for the bottled water bottles provided in roomBus stop in front of hotel-Easy access to major attractions and CBD. Stayed in September 2022"
91,Mercure Singapore On Stevens,7.0,“ recharging batteries. ”,"shower a little cold, took long time for warmer water to cone through convince to locations Stayed in September 2022"
92,Mercure Singapore On Stevens,8.0,“ nice weekend getaway ”,"have to walk further in to the herbal garden to find the pool staff were nice, good reception area and clean room too! covenient to have restaurant nearby too! Stayed in September 2022"
93,Mercure Singapore On Stevens,8.0,Very Good,"Room abit small and squeezy. TV too near the bed, abit too glaring for the eyes. Friendly staff, nice welcome ambience. Hotel room and toilet is clean. TV has in-built radio stations. Stayed in September 2022"
94,Mercure Singapore On Stevens,8.0,“ I recommend this Place ”,The room was confortable Stayed in September 2022
95,Mercure Singapore On Stevens,7.0,Good,One week without room service. It takes very long for hot water to get to shower. Great breakfast with many options available. Well-equipped gym. Long lap pool. Stayed in September 2022
96,Hotel Boss,7.0,"“ Nice stay, helpful staff, and very good location. ”",The room is without natural light. Location is very convenient if one likes exploring the ethic communites in Singapore - walking to Arab Street and Little India. It's also close to MRT station. Stayed in October 2022
97,Hotel Boss,7.0,“ Good value for money!!! Great Location!! ”,"room was bit small for three people, on-site  restaurant option is also limited. having said that there are plenty of options available within 5-10 mins walk. great location, has a halal on-site restaurant, extremely helpful staff members. Raffles Hospital, 10 mins walk from the hotel. Marina Bay is only about 10-15 mins drive. Stayed in October 2022"
98,Hotel Boss,8.0,"“ Best price for a short stay, clean, accessible to train and cafes ”","you can hear the noise from the lift lobby at the sounds from nearby rooms. The room is decent size for solo/couple traveller and cleanliness of the room is a plus, location is easy to get in and out and accessible train 5 mins walk from the hotel. lots of cafes and local restaurants around the area. Stayed in July 2022"
99,Hotel Boss,7.0,“ okay for a few nights ”,"Super tiny rooms, very depressive. You are staying like in a cell. Housekeeping didn’t change bed linens during our 6 nights stay, only towels, and bathroom wasn’t cleaned properly as well. Good location and nice pool area. Stayed in October 2022"
100,Hotel Boss,7.0,Good,"We booked 2 rooms, one of the rooms could hear construction noise most of the time. The cleanliness could be better. Location is nice, close to bus stop and walkable to mrt. Stayed in October 2022"
101,Hotel Boss,7.0,“ fine ”,Little bit far from MRT beds were not comfortable Pool was amazing Stayed in October 2022
102,Hotel Boss,6.0,Pleasant,cleaning hotel design is very good Stayed in October 2022
103,Hotel Boss,6.0,Pleasant,Inside the room can hear sound outside corridor Location Stayed in October 2022
104,Hotel Boss,7.0,Good,"Very small room for 3x people. No cupboard for clothes/bags. Very narrow space between two beds. Very small shower cubicle. 
Safety box was placed in a drawer due to no space. Location, 4s conditions throughout the hotel.
Friendly staff. Stayed in October 2022"
105,Hotel Boss,8.0,Very Good,"The tv keeps on blank. Nice hotel lobby, checked in was smooth.
Room quite clean. Stayed in October 2022"
106,Hotel Boss,7.0,Good,"WiFi hanging and slow to load on smartphone Great pool and large lobby with easy access for taxi drop and pick up.
Plenty good cheap and mid range places to eat outside the door. Plus local bus stops and Open top bus stop. 
Walking distance to the sights and eats of Malaysian and Indian area. Stayed in October 2022"
107,Hotel Boss,8.0,Very Good,"No much choices for the free breakfast. They were serving same choices of food for 4 consecutive days we stayed. Nice ambiance, coz there's a balcony were you can eat your food. The toilet was really good coz it has a strong running water. Stayed in October 2022"
108,Hotel Boss,8.0,Very Good,"Cleaning staff keeps on bothering even before check out. Good location, nearby MRT station, very close to Bus station as well , good facilities, professional staff. Stayed in September 2022"
109,Hotel Boss,6.0,“ Average ”,The blankets and pillows does not smell clean Near MRT station Stayed in October 2022
110,Hotel Boss,6.0,“ Didn't meet expectation ”,"Cleanliness. Rooms are only cleaned on alternate day (1 day gap)Ambience of room and comfortDidn't see much staff or serviceOverall experience could be much better Location Stayed in October 2022"
111,Hotel Boss,7.0,“ An enjoyable stay with a few minor irritations but the comfortable bed mad it tolerable. ”,"Although the rooms are small it could use a little more imagination for storage of cloths and luggage.The in-room TV entertainment was very poor quality with many channels unavailable through ""Lost Signal""Wifi was very weak with no internet accessThe Laundry facilities, particularly iron facilities are inadequate for the number of rooms. The location is convenient for the MRT. The main vehicle access is large and well managed.Breakfast was plentiful and well-presented, but it would benefit from having a little more variation in the menu.The beds are very comfortable and allows for a restful sleep. Stayed in October 2022"
112,Hotel Boss,6.0,Pleasant,"small rooms, bathroom was a bit dirty but the room/bed and sheets were clean. location is close to the mrt Stayed in October 2022"
113,Hotel Boss,8.0,Very Good,Every other day make up room Quick response to request Stayed in October 2022
114,Hotel Boss,7.0,Good,disappointed with the services …room cleaning was every alternate days … room service was not prompt.. the location was exceptional … easy access to all the spots Stayed in October 2022
115,Hotel Boss,8.0,Very Good,rooms where a little small . air con was not working correctly good location and had everything we needed to enjoy our stay Stayed in October 2022
116,Hotel Boss,6.0,Pleasant,"- small room
- not quite clean - busstop in front of the hotel
- can check in early and check out 1pm
- quick service
- good location Stayed in October 2022"
117,Hotel Boss,6.0,Pleasant,service entering breakfast was very poor bed was comfortable Stayed in October 2022
118,Hotel Boss,6.0,“ 4 stars is too much ”,"it is not possible in a 4-star hotel to have only 1 towel per person and to collect the bins every other day, the hotel has probably 500 rooms and 15 sunbeds around the pool! Good location, 200 meters to metro station, 2-3 stops from city center, not bad breakfast including Asian dishes, many restaurants nearby, responsive staff Stayed in October 2022"
119,Hotel Boss,7.0,Good,"TV has not been working for a couple of days, and no one was bothered, only when I really started to complain, too large a hotel, so it was like accommodation and fast food, very anonymous.  No shelving in the room, you have to keep your cloth in the language or hang them on a few hangers available, but on hangers next to the TV, you look at them from your bed. The rooms are really really small,  for 1 person ok, don't take for 2 Near the MRT (underground), comfortable bed Stayed in October 2022"
120,Royal Plaza on Scotts,8.0,“ T ”,Strategis Stayed in March 2022
121,Royal Plaza on Scotts,8.0,Very Good,Mattresses were too soft.  Need firmer mattresses Excellent location Stayed in March 2022
122,Royal Plaza on Scotts,7.0,“ Good for a overnight experience but not worth staying for more than one night. ”,"There are no complimentary tea n coffee bags in my room. There is a kettle but no cups provided for drinking. In my past stay with local hotels within the last 5 months, these were provided complimentary in the room. Breakfast buffet was not outstanding either. Food choice are limited. My room was facing another residential block so I could not draw the curtains open due to lack of privacy. The location is good. Staffs services at reception are excellent! Please keep up the excellent professionalism show of service. Stayed in March 2022"
123,Royal Plaza on Scotts,7.0,"“ It was a pleasant stay, ”","I feel like the breakfast could be better, with more choices. I love the location, and bed. Stayed in March 2022"
124,Royal Plaza on Scotts,7.0,“ nice and calm ”,the room overviewing breakfast is so good Stayed in March 2022
125,Royal Plaza on Scotts,9.0,“ A pleasant stay ”,Some facilities were closed for upgrading works Location is close to shopping malls and other food outlets Stayed in March 2022
126,Royal Plaza on Scotts,8.0,"“ good,, ”","abt the breakfast time, as  i understand, it’s a Skool holidays, but the way the food was managed, the q,  is abit out.. as for the key drop off,, y not provide a bigger box!! the ambience, Stayed in March 2022"
127,Royal Plaza on Scotts,9.0,"“ Overall we enjoyed our stay, the comfort and service is good. ”",There is no cartoon channel for kids. Breakfast is good and overall ambience is good. The room is spacious and comfortable. The bathroom size is good with bathtub to enjoy. Location is superb within city proximity. Stayed in March 2022
128,Royal Plaza on Scotts,8.0,“ A day in the city ”,Long queue during check ins and breakfast.  No proper safe distancing measures during queue. Luckily there were takeaway options for breakfast. The room was clean and cosy. And they have express checkout where you can just drop the room keycard without the need for check put at the counters Stayed in March 2022
129,Royal Plaza on Scotts,8.0,“ Satisfied ”,"The breakfast can be improved with more variety. The swimming pool is not available during the stay. The hotel is close to the shopping malls. The good thing is, the toilet comes with a bidet. Stayed in March 2022"
130,Royal Plaza on Scotts,8.0,Very Good,"We asked for room clean up but when we come bck to the room only rubbish thrown,bed not done, no topping up of toileteries,toilet not dry & mineral water not topping up. Reception was friendly & fast. Stayed in March 2022"
131,Royal Plaza on Scotts,9.0,“ Wonderful and I’ll be back again! ”,Nothing Good location as it is strategically situated. Stayed in March 2022
132,Royal Plaza on Scotts,8.0,Very Good,close to shopping mall Stayed in March 2022
133,Royal Plaza on Scotts,8.0,“ Wonderful stay ”,"Understand due to covid there is no housekeeping, mayb can add extra plastic for rubbish Processed of check in fast, breakfast is great and the tv is able to connect thru hp for bigger view. Stayed in March 2022"
